Extruder 1 current,Extruder speed,Extruder 1 head pressure,Extruder 1 head temperature,Calender 1 current,Calender 1 speed,Calender 1 film temperature,Calender 1 drive side roller distance,Calender 1 operation side roller distance,"Calender 1 drive side
Upper chamber pressure","Calvestor 1 drive side
Lower chamber pressure ","Calender 1 operating side
Upper chamber pressure ","Calves 1 operating side
Lower chamber pressure",calender width,Thickness measurement drive side,thickness measurement operation side
357.87,3.51,2.93,82.28,57.71,3,79.96,1.23,1.22,45.23,34.47,29.29,43.46,705.8,1.19,1.28
357.14,3.51,2.92,82.29,57.7,3,79.97,1.23,1.22,50.78,39.22,34.75,48.57,706.1,1.19,1.28
357.62,3.51,2.92,82.28,57.65,3,79.94,1.23,1.22,50.13,39.12,34.52,48.47,705.6,1.19,1.28
358.27,3.51,2.92,82.29,57.64,3,79.96,1.23,1.22,48,36.97,32.63,46.04,705.5,1.19,1.28
356.85,3.51,2.92,82.29,57.64,3,80,1.23,1.22,51.78,40.83,35.85,49.8,705.5,1.19,1.28
358.13,3.51,2.92,82.29,57.72,3,80,1.23,1.22,48.94,37.87,33.13,47.04,705.8,1.19,1.28
359.04,3.5,2.92,82.3,57.69,3,80.05,1.23,1.22,48.53,37.68,33.08,46.67,705.7,1.19,1.28
359.66,3.5,2.92,82.3,57.67,3,80.06,1.23,1.22,51.13,40.22,35.55,49.39,705.6,1.19,1.28
360.76,3.5,2.91,82.3,57.68,2.99,80.04,1.23,1.22,48.41,37.51,32.53,46.71,706,1.19,1.28
361.01,3.51,2.91,82.3,57.68,2.99,80.05,1.23,1.22,48.41,37.51,32.53,46.71,706,1.19,1.28
362.69,3.5,2.91,82.31,57.71,3,80.03,1.23,1.22,49.32,37.97,33.16,47.1,705.8,1.19,1.29
367.44,3.48,2.92,82.3,57.62,3,79.94,1.23,1.22,49.1,37.77,33.13,47.04,705.7,1.19,1.29
369.99,3.5,2.92,82.31,57.64,3,79.92,1.23,1.22,49.52,38.08,33.61,47.25,705.6,1.19,1.29
368.42,3.52,2.92,82.31,57.75,3,79.9,1.23,1.22,48.43,37.42,31.5,46,705.6,1.2,1.29
367.29,3.51,2.92,82.31,57.77,3,79.85,1.23,1.22,52.99,41.76,36.35,50.27,705.6,1.2,1.29
366.67,3.52,2.93,82.31,57.74,3,79.84,1.23,1.22,50.36,39.15,34.07,48.23,705.8,1.2,1.3
363.27,3.53,2.93,82.31,57.75,2.99,79.96,1.23,1.22,46.39,35.06,30.31,44.46,706,1.2,1.3
363.27,3.52,2.93,82.32,57.75,2.99,79.96,1.23,1.22,46.39,35.06,30.31,44.46,706,1.2,1.3
362.03,3.51,2.93,82.31,57.84,3,79.81,1.23,1.22,52.15,40.68,35.47,49.74,705.8,1.2,1.3
362.8,3.5,2.92,82.32,57.75,3,79.89,1.23,1.22,48.49,36.62,31.87,45.58,705.6,1.2,1.3
365.06,3.5,2.92,82.31,57.73,3,80.03,1.23,1.22,50.48,39.06,34.1,48.24,705.5,1.2,1.3
366.45,3.5,2.92,82.32,57.8,3,80.04,1.23,1.22,51.52,40.53,35.61,49.45,705.3,1.2,1.3
368.6,3.5,2.92,82.32,57.84,3,80.04,1.23,1.22,50.97,39.81,34.94,48.69,705.2,1.2,1.3
369.08,3.51,2.92,82.33,57.84,3,79.99,1.23,1.22,49.49,37.77,32.54,46.53,705.2,1.2,1.3
372.14,3.5,2.92,82.33,57.84,3,80.01,1.23,1.22,49.49,37.77,32.54,46.53,705.2,1.2,1.3
377.76,3.48,2.92,82.33,57.81,3,80.07,1.23,1.22,51.22,40.25,35.2,49.28,705.7,1.2,1.29
379.77,3.5,2.93,82.34,57.89,3,80.02,1.23,1.22,50.19,38.58,34.01,47.81,705.8,1.2,1.29
378.35,3.52,2.93,82.33,57.96,3,80,1.23,1.22,51.45,40.34,35.62,49.73,705.2,1.19,1.29
379.19,3.5,2.93,82.34,57.93,3,80.04,1.23,1.22,47.95,36.65,31.77,46.04,705.1,1.19,1.29
377.95,3.51,2.94,82.33,57.91,3,79.99,1.23,1.22,50.59,38.88,34.06,48.14,704.8,1.19,1.28
376.71,3.52,2.94,82.35,57.93,3,80,1.23,1.22,49.4,37.9,33.27,47.45,704.8,1.18,1.28
374.3,3.52,2.94,82.34,57.96,3,80,1.23,1.22,49.52,37.93,33.17,47.45,705.1,1.18,1.28
372.03,3.52,2.95,82.35,57.9,3,79.98,1.23,1.22,48.58,37.27,32.43,46.55,705.1,1.18,1.28
370.25,3.52,2.95,82.34,57.87,3,80.04,1.23,1.22,52.46,41.58,37.27,51.58,705.3,1.18,1.27
369.15,3.52,2.95,82.34,57.97,3,80.02,1.23,1.22,49.03,37.92,33.3,47.36,705.3,1.18,1.27
370.06,3.51,2.94,82.35,58,3,80.01,1.23,1.22,47.85,36.73,32.04,46,705,1.18,1.27
368.79,3.51,2.94,82.34,57.97,3,79.92,1.23,1.22,49.61,38.61,33.43,47.81,705.4,1.17,1.27
367.51,3.52,2.93,82.35,57.98,3,80.02,1.23,1.22,49.6,38.48,33.97,47.99,704.6,1.17,1.27
